,Name,Company,LinkedIn,Batch
69,Yadgar Merani,Lezzoo,https://www.linkedin.com/in/yadgar-merani-6a1b17157/,W19
70,Rekar Botany,Lezzoo,https://www.linkedin.com/in/rekarbotany/,W19
71,Andres Arslanian,Emi Labs,https://www.linkedin.com/in/andrés-arslanian-64246939,W19
72,Mateo Cavasotto,Emi Labs,https://ar.linkedin.com/in/mateo-cavasotto-25620223,W19
73,Joseph Lai,Bentocart,https://www.linkedin.com/in/joelai/,W19
74,Wenjing Yu,Bentocart,https://www.linkedin.com/in/angilyu,W19
75,John Oke,Spring in Africa,https://linkedin.com/in/johnoke,W19
76,Mofehintolu Olaogun,CredPal,https://ng.linkedin.com/in/fehintolu,W19
77,Sidharth Rawat,Exly,https://www.linkedin.com/in/sidharth-rawat-55252748/,W19
78,Suyash Sinha,Exly,https://www.linkedin.com/in/suyash-sinha-426b6945/,W19
79,Alfredo Granda,Keynua,https://www.linkedin.com/in/alfredo-granda-02a95992/,W19
80,Manuel Olguin,Keynua,https://www.linkedin.com/in/manuel-olguin-82a352/,W19
81,Luis Alban,Keynua,https://www.linkedin.com/in/luis-alban-90a09ab6,W19
82,Inma Canadas,Keynua,,W19
83,Srinivas Sriramdas,Edyst,https://www.linkedin.com/in/srinivas-vasu-sriramdas-a375475/,W19
84,Aneeq Dholakia,Edyst,https://www.linkedin.com/in/aneeqdholakia/,W19
85,ADHEMAR MILANI NETO,Kovi,https://www.linkedin.com/in/adhemarmilanineto/,W19
86,Vishu Bansal,AccioJob,https://www.linkedin.com/in/vishu-bansal-70a260a3,W19
87,Harsh Sharma,AccioJob,https://www.linkedin.com/in/harsh-sharma-791082bb,W19
88,Priyanshu Agarwal,AccioJob,https://www.linkedin.com/in/priyanshu-agarwal-949719b7/,W19
89,Yashwardhan Burad,AccioJob,https://www.linkedin.com/in/yashwardhan-burad-50bb75b5/,W19
90,Benjamin Fernandes,NALA,https://www.linkedin.com/in/benjaminf7/,W19
91,Edul Patel,Mudrex,https://www.linkedin.com/in/edulpatel/,W19
92,Alankar Saxena,Mudrex,https://www.linkedin.com/in/saxenaalankar,W19
93,Surya Paneerselvam,Skill-lync,https://www.linkedin.com/in/suryanarayanan-paneerselvam-05b65732/,W19
94,Sarang,Skill-lync,https://www.linkedin.com/in/sarangarajan-v-iyengar,W19
95,Diego Rey,Endpoint Health,https://www.linkedin.com/in/diegorey/,W19
96,Jason Springs,Endpoint Health,https://www.linkedin.com/in/jasonsprings/,W19
97,Leonardo Teixeira,Endpoint Health,https://www.linkedin.com/in/leonardomteixeira,W19
98,Thomas Sun,AmpUp,https://www.linkedin.com/in/thomas-sun/,W19
99,Kalim Mir,XGenomes,https://www.linkedin.com/in/kalim-mir-b8037310/,W19
100,Yoshi Yokokawa,Alpaca,https://www.linkedin.com/in/yoshiyokokawa/,W19
101,Hitoshi Harada,Alpaca,https://www.linkedin.com/in/hitoshi-harada-02b01425/,W19
102,Drew Reid,Maple Materials (fka Saratoga Energy),https://www.linkedin.com/in/drew-reid-3937b0125/,W19
103,Jonathan Petts,Upsolve,https://www.linkedin.com/in/jonathanpetts,W19
104,Esteban Ortiz-Ospina,Our World in Data,,W19
105,Hannah Ritchie,Our World in Data,,W19
106,Max Roser,Our World in Data,https://www.linkedin.com/in/max-roser-4334b185,W19
107,Sam Alba,Dagger,https://www.linkedin.com/in/samalba/,W19
108,Solomon Hykes,Dagger,https://www.linkedin.com/in/solomonhykes/,W19
109,Andrea Luzzardi,Dagger,https://www.linkedin.com/in/aluzzardi/,W19
